date,description,category,amount
2023-03-01,Paycheck,Income,4000.00
2023-03-02,Amazon,Shopping,-75.99
2023-03-04,AT&T,Phone,-75.00
2023-03-05,Burger King,Food,-8.75
2023-03-08,Gas,Transportation,-50.00
2023-03-09,Electricity,Utilities,-150.00
2023-03-10,Gym,Health,-40.00
2023-03-12,Netflix,Entertainment,-14.99
2023-03-14,Concert tickets,Entertainment,-150.00
2023-03-17,St. Patrick's Day,Entertainment,-80.00
2023-03-20,Whole Foods,Groceries,-125.00
2023-03-22,Taco Bell,Food,-10.25
2023-03-24,Movie tickets,Entertainment,-25.00
2023-03-26,Car insurance,Insurance,-150.00
2023-03-28,Spotify,Entertainment,-9.99
2023-03-30,Best Buy,Shopping,-300.00